ID,sex,x,y,ws,dir,lod
30,M,-38.82449953,-53.679635,11.09139667,82.71483302,L
30,M,-38.84590264,-53.64552687,11.09139667,80.87353896,L
30,M,-38.91547063,-53.52237606,10.85719567,79.94009066,L
30,M,-39.00336848,-53.33957341,9.923921581,83.85688469,D
30,M,-39.07569089,-53.17605997,9.820368927,78.8913643,D
30,M,-39.08345401,-53.1455598,9.5222101,83.13709477,D
30,M,-39.0910516,-53.1162308,9.08983263,138.8544483,D
30,M,-39.09453879,-53.1151504,8.979882595,122.5068802,D
30,M,-39.0967452,-53.1176268,8.979882595,127.2279988,D
30,M,-39.09858307,-53.119335,8.979882595,105.044805,D
30,M,-39.09941,-53.12196,9.315757051,105.2294381,D
30,M,-39.10102023,-53.12471736,9.315757051,101.1648232,D
30,M,-39.10239356,-53.12773881,9.437355199,98.80487233,D
30,M,-39.10202471,-53.10761289,9.437355199,97.25828596,D
30,M,-39.09469465,-52.99133942,9.905601699,102.0101817,D
30,M,-39.09670048,-52.83821017,9.793266818,104.6721861,D
30,M,-39.10590709,-52.69932987,9.793266818,101.832761,D
30,M,-39.10418171,-52.58642476,9.513075149,98.94029529,D
30,M,-39.09514805,-52.50558796,9.513075149,108.1561849,L
30,M,-39.11660308,-52.36440365,8.602384887,117.8198102,L
30,M,-39.15389897,-52.18896297,8.697344095,134.9125892,L
30,M,-39.26309889,-52.05166194,8.697344095,149.6211818,L
30,M,-39.41959201,-51.93964997,9.835837846,158.2478718,L
30,M,-39.56927966,-51.8441792,9.835837846,166.4175187,L
30,M,-39.66287298,-51.79938787,11.60390866,92.55749111,L
30,M,-39.65434011,-51.78217176,11.60390866,2.173442139,L
30,M,-39.64741157,-51.78389202,11.81130111,6.471070198,L
30,M,-39.63854113,-51.78480703,11.81130111,0.455321814,L
30,M,-39.62837621,-51.78518451,11.81130111,5.942023766,L
30,M,-39.61689716,-51.78481497,13.37995667,9.628103496,L
30,M,-39.60498996,-51.78385282,13.37995667,5.289037116,L
30,M,-39.59350553,-51.78236971,13.13682734,6.505501534,L
30,M,-39.58083243,-51.77859057,13.13682734,3.486054492,L
30,M,-39.57053385,-51.77592403,13.13682734,3.831771007,L
30,M,-39.5607694,-51.77335263,13.50905769,3.261543097,L
30,M,-39.55070056,-51.76991615,13.50905769,8.600093236,L
30,M,-39.54138284,-51.76599395,12.45502713,20.14617043,L
30,M,-39.53369654,-51.76144325,12.45502713,23.09578474,L
30,M,-39.52615,-51.75649,12.22202,22.8120915,L
30,M,-39.51899,-51.75162,12.22202,29.38121625,L
30,M,-39.51309258,-51.74654658,12.22202,33.31113005,L
30,M,-39.50826319,-51.7417267,12.33492092,29.44622143,L
30,M,-39.50393144,-51.73695244,12.33492092,33.81224239,L
30,M,-39.50012142,-51.73188538,12.15133054,29.22712054,L
30,M,-39.49665264,-51.72684283,12.15133054,32.65073945,L
30,M,-39.49414494,-51.72249501,12.15133054,32.36858681,L
30,M,-39.49224691,-51.71925436,12.31931356,45.20282053,L
30,M,-39.49203497,-51.71453125,12.31931356,50.80401005,L
30,M,-39.49265088,-51.70906545,13.47244822,39.11210284,L
30,M,-39.49210879,-51.70441,13.47244822,74.58547435,L
30,M,-39.53617299,-51.65939038,14.01421043,78.20594925,L
30,M,-39.763448,-51.49234405,14.28353616,78.86537918,L
30,M,-40.06469285,-51.2769639,14.6458981,98.63816142,L
30,M,-40.22918051,-51.21536136,14.15057063,125.3280572,L
30,M,-40.30147642,-51.21256851,13.73266861,83.89768068,L
30,M,-40.40919515,-51.1403215,12.58698012,73.41266201,L
30,M,-40.61780957,-50.9352661,12.18328851,74.63896878,L
30,M,-40.82709766,-50.73290217,12.34987716,75.22423313,L
30,M,-41.04068897,-50.54010511,11.25227126,77.4621921,L
30,M,-41.24620399,-50.34907305,11.22751353,75.16139454,L
30,M,-41.42853715,-50.17070078,10.21964294,87.62138996,D
30,M,-41.57362794,-50.06680681,10.51093784,83.55582718,D
30,M,-41.66431581,-49.98575665,11.77495299,82.97823884,D
30,M,-41.7413172,-49.9120776,11.45104555,54.69347344,D
30,M,-41.7414096,-49.9112416,11.45104555,9.047059788,D
30,M,-41.7394,-49.909778,12.28348647,4.831462713,D
30,M,-41.73739724,-49.90821035,12.28348647,10.49431635,D
30,M,-41.73532826,-49.90621897,12.89531149,15.56648982,D
30,M,-41.73307357,-49.90314641,12.89531149,47.31820853,D
30,M,-41.73388239,-49.8984832,12.89531149,50.32546955,D
30,M,-41.73517583,-49.89343583,12.85834761,30.03615943,D
30,M,-41.73401497,-49.88897847,12.85834761,36.77648114,D
30,M,-41.73355956,-49.8829852,12.65715414,58.06546768,D
30,M,-41.75553872,-49.84114402,12.65715414,64.90201637,D
30,M,-41.87593774,-49.67802536,12.58698172,66.98585398,D
30,M,-42.02945624,-49.48751831,12.81823537,72.37871367,D
30,M,-42.23332055,-49.29474539,12.93258665,72.63652179,D
30,M,-42.41097857,-49.13354385,12.91135005,100.8803784,L
30,M,-42.50857708,-49.10211052,12.91135005,87.5868315,L
30,M,-42.55117063,-49.07912607,12.72968816,79.01044949,L
30,M,-42.57261074,-49.06295412,12.72968816,53.1309794,L
30,M,-42.59237515,-49.01505756,12.89635226,58.96328347,L
30,M,-42.61151426,-48.98525244,12.50197713,122.3549399,L
30,M,-42.63429977,-48.98412331,12.50197713,149.2650088,L
30,M,-42.66110827,-48.99146851,11.00108162,163.2241811,L
30,M,-42.68273113,-49.00143969,10.73098103,111.1303449,L
30,M,-42.71261892,-48.99479975,10.33824597,101.5966777,L
30,M,-42.74880127,-48.97958624,10.33824597,127.8410878,L
30,M,-42.77636977,-48.97757447,10.33824597,115.5264302,L
30,M,-42.80748634,-48.97066404,9.063094881,129.7502528,L
30,M,-42.84344599,-48.96599487,9.063094881,111.1749436,L
30,M,-42.88169785,-48.95160812,8.223610744,139.0509611,L
30,M,-42.91612236,-48.94581303,8.223610744,137.8624896,L
30,M,-42.94784138,-48.94000892,8.223610744,102.9227759,L
30,M,-42.95547649,-48.93391673,8.331245112,36.90080195,L
30,M,-42.95046599,-48.92940813,8.331245112,169.7015828,L
30,M,-43.02150339,-48.93479039,9.752982476,177.8888911,L
30,M,-43.05457921,-48.93996127,9.752982476,14.26507199,L
30,M,-43.04911597,-48.93988524,9.854372207,1.160073682,L
30,M,-43.04324317,-48.93888885,9.854372207,4.510489616,L
30,M,-43.03705749,-48.93826004,9.854372207,6.745840438,L
30,M,-43.03053874,-48.93776796,10.42963331,13.453321,L
30,M,-43.02340462,-48.93772391,10.42963331,10.84949527,L
30,M,-43.01454852,-48.9374037,10.64653743,96.32049842,L
30,M,-43.03332616,-48.90829868,10.64653743,122.6510133,L
30,M,-43.10450653,-48.86798673,10.64653743,175.0980989,L
30,M,-43.17884561,-48.87822211,10.54211578,146.7451872,L
30,M,-43.19340701,-48.89045726,10.54211578,29.69336215,L
30,M,-43.18722539,-48.89125464,9.823864329,14.24158224,L
30,M,-43.17830522,-48.89100792,9.823864329,119.0200926,L
30,M,-43.19625316,-48.87943845,9.383963188,130.6536956,L
30,M,-43.25471426,-48.85093844,9.383963188,117.853787,L
30,M,-43.27145158,-48.83811968,9.383963188,4.965171686,L
30,M,-43.26040531,-48.83576779,8.807515548,56.26803838,L
30,M,-43.25466834,-48.82715921,8.807515548,95.27084191,L
30,M,-43.26170891,-48.81010532,8.90442979,130.0020552,L
30,M,-43.28372575,-48.79612526,8.923435043,149.9856815,L
30,M,-43.31104623,-48.7872344,8.923435043,73.51421656,L
30,M,-43.30901551,-48.78127102,9.306760944,56.95417397,D
30,M,-43.30500296,-48.777215,9.306760944,26.17880748,D
30,M,-43.29884294,-48.77522501,9.665278101,22.91861075,D
30,M,-43.29382559,-48.77399802,9.665278101,0.232966341,D
30,M,-43.28986802,-48.77410682,10.10470626,8.340592471,D
30,M,-43.28539642,-48.77476203,10.10470626,7.492837834,D
30,M,-43.28087401,-48.77537842,10.02839072,13.72439604,D
30,M,-43.27655403,-48.77621283,10.27092256,13.13274764,D
30,M,-43.27197045,-48.77712916,10.27092256,15.7297706,D
30,M,-43.26675754,-48.7783442,10.28524025,3.796454512,D
30,M,-43.26071782,-48.77896396,10.28524025,1.513688463,D
30,M,-43.25478001,-48.77920504,10.28524025,8.773921404,D
30,M,-43.24916683,-48.78011643,10.35800191,18.63720112,D
30,M,-43.24304743,-48.78205003,10.35800191,18.7716508,D
30,M,-43.23569206,-48.78438805,10.40678129,103.9983173,D
30,M,-43.24394626,-48.73499679,10.40678129,154.2081852,D
30,M,-43.28022947,-48.71911134,10.66558448,149.1563653,D
30,M,-43.36913961,-48.74231078,10.49002819,178.8069062,L
30,M,-43.47452488,-48.72728873,10.66233625,179.2645782,L
30,M,-43.57000176,-48.71431761,10.74316779,167.0917409,L
30,M,-43.66847266,-48.68382762,10.69256167,163.3926945,L
30,M,-43.75793218,-48.64953065,10.73073109,128.0297388,L
30,M,-43.78934099,-48.60388052,10.73073109,29.41344687,L
30,M,-43.76303644,-48.59890317,10.73073109,13.43735551,L
30,M,-43.65128979,-48.59893009,9.923657899,72.40920664,L
30,M,-43.64140534,-48.58890901,9.923657899,88.50739234,L
30,M,-43.63040244,-48.56517337,10.01929479,128.1397993,L
30,M,-43.63626511,-48.56789888,10.01929479,57.14933756,L
30,M,-43.62650755,-48.56240572,10.19901464,93.02482465,L
30,M,-43.61856069,-48.54270768,10.19901464,51.76979634,L
30,M,-43.60965254,-48.53875492,10.19901464,96.93357466,L
30,M,-43.60809084,-48.53346251,10.38966488,98.57552718,L
30,M,-43.60653,-48.52817,10.38966488,128.2116934,L
30,M,-43.61059486,-48.52012424,10.63561027,162.2039112,L
30,M,-43.66817794,-48.49141378,10.63561027,137.6822401,L
30,M,-43.69285519,-48.46133112,10.63561027,131.6716928,L
30,M,-43.70718264,-48.43843647,10.53234136,74.35463346,L
30,M,-43.69632427,-48.42942775,10.22733851,94.61453197,L
30,M,-43.68840872,-48.41063811,10.68002819,121.5206349,L
30,M,-43.69068709,-48.39907171,10.68002819,148.3465063,L
30,M,-43.73021224,-48.36044987,10.83741977,135.5685247,L
30,M,-43.74338774,-48.33342661,10.83741977,35.14205919,L
30,M,-43.7230858,-48.33162266,10.83741977,120.0482659,L
30,M,-43.73568707,-48.33695229,11.0163916,177.0033494,L
30,M,-43.77312849,-48.32381583,11.0163916,126.6841969,L
30,M,-43.77683845,-48.30006454,10.99209694,114.9825048,L
30,M,-43.77311485,-48.28414652,10.99209694,165.3501433,L
30,M,-43.83275286,-48.23909167,10.99209694,150.2110708,L
30,M,-43.91658299,-48.23507878,11.04406235,153.5829122,L
30,M,-43.97828921,-48.22956887,11.04406235,159.8126781,L
30,M,-44.03869363,-48.21962365,11.2929012,151.1802027,L
30,M,-44.0905323,-48.21769777,11.2929012,175.9677967,L
30,M,-44.11992722,-48.20726862,11.09392665,141.9688836,L
30,M,-44.13168638,-48.19017654,11.09392665,129.6894399,L
30,M,-44.1358491,-48.17753991,11.09392665,148.4243536,L
30,M,-44.1410259,-48.17181309,11.39663933,176.0933354,L
30,M,-44.18564507,-48.15554849,11.50345329,141.7478848,L
